Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
207,8:46.60,,Aleksandr SAFONOV,12 SEP 1989,RUS,2f1,,Kazan (RUS),24 JUL 2014,1050
208,8:46.69,,Alex DEIR,24 NOV 1991,USA,3h2,,"Fayetteville, AR (USA)",30 MAY 2014,1050
209,8:46.88,,Max DARRAH,14 JAN 1992,USA,3h2,,"Jacksonville, FL (USA)",30 MAY 2014,1049
210,8:46.95,,Rory CHESSER,07 MAR 1987,IRL,1,,Dublin (IRL),20 JUL 2014,1049
211,8:46.98,,Djilali BEDRANI,01 OCT 1993,FRA,10,,Oordegem (BEL),31 MAY 2014,1049
212,8:47.02,,Matthew HOWARD,,USA,4f1,,"Princeton, NJ (USA)",18 APR 2014,1048
213,8:47.04,,Bailey ROTH,17 JAN 1996,USA,10,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1048
214,8:47.07,,Dylan SORENSEN,,USA,5f1,,"Princeton, NJ (USA)",18 APR 2014,1048
215,8:47.14,,Andrew GONZALES,01 AUG 1990,USA,4h2,,"Fayetteville, AR (USA)",30 MAY 2014,1048
216,8:47.2h,,Edwin KIBET,07 JUL 1996,KEN,3,,Nairobi (KEN),04 APR 2014,1048
217,8:47.20,,Patrick KARL,03 MAY 1996,GER,6h1,,"Hayward Field, Eugene, OR (USA)",25 JUL 2014,1048
218,8:47.26,,. JAIVEER,,IND,1,,Lucknow (IND),07 JUN 2014,1047
219,8:47.38,,Dylan LAFOND,18 MAR 1993,USA,6f1,,"Princeton, NJ (USA)",18 APR 2014,1047
220,8:47.51,,Alexandru GHINEA,11 NOV 1989,ROU,1,,Pitesti (ROU),19 JUL 2014,1046
221,8:47.54,,William GRAY,24 JAN 1993,GBR,4,,Birmingham (GBR),28 JUN 2014,1046
222,8:47.56,,Allan SCHROEDER,14 JAN 1992,USA,5f1,,"Palo Alto, CA (USA)",04 APR 2014,1046
223,8:47.6h,,Redouane MEJDOUB,03 MAR 1987,MAR,6,,Rabat (MAR),22 JUN 2014,1046
224,8:47.63,,Jose Rafael BAÑALES,31 JAN 1989,MEX,1,,Monterrey (MEX),23 MAR 2014,1046
225,8:47.64,,Ibrahim CHAKIR,04 SEP 1994,ESP,3,,Palafrugell (ESP),31 MAY 2014,1046
